"","Movies_Title","Released_Year","Certificate","Runtime","Genre","IMDB_Rating","Meta_score","Director","Star1","Star2","Star3","Star4","No_of_Votes","Gross","ID","IMDB_Rating_mod","Meta_score_mod"
"1","The Shawshank Redemption",1994,"A",142,"Drama",9.3,80,"Frank Darabont","Tim Robbins","Morgan Freeman","Bob Gunton","William Sadler",2343110,28341469,1,"8.5-10","B+"
"2","The Godfather",1972,"A",175,"Crime",9.2,100,"Francis Ford Coppola","Marlon Brando","Al Pacino","James Caan","Diane Keaton",1620367,134966411,2,"8.5-10","A"
"3","The Dark Knight",2008,"UA",152,"Action",9,84,"Christopher Nolan","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",2303232,534858444,3,"8.5-10","B+"
"4","The Godfather: Part II",1974,"A",202,"Crime",9,90,"Francis Ford Coppola","Al Pacino","Robert De Niro","Robert Duvall","Diane Keaton",1129952,57300000,4,"8.5-10","A"
"5","12 Angry Men",1957,"U",96,"Crime",9,96,"Sidney Lumet","Henry Fonda","Lee J. Cobb","Martin Balsam","John Fiedler",689845,4360000,5,"8.5-10","A"
"6","The Lord of the Rings: The Return of the King",2003,"U",201,"Action",8.9,94,"Peter Jackson","Elijah Wood","Viggo Mortensen","Ian McKellen","Orlando Bloom",1642758,377845905,6,"8.5-10","A"
"7","Pulp Fiction",1994,"A",154,"Crime",8.9,94,"Quentin Tarantino","John Travolta","Uma Thurman","Samuel L. Jackson","Bruce Willis",1826188,107928762,7,"8.5-10","A"
"8","Schindler's List",1993,"A",195,"Biography",8.9,94,"Steven Spielberg","Liam Neeson","Ralph Fiennes","Ben Kingsley","Caroline Goodall",1213505,96898818,8,"8.5-10","A"
"9","Inception",2010,"UA",148,"Action",8.8,74,"Christopher Nolan","Leonardo DiCaprio","Joseph Gordon-Levitt","Elliot Page","Ken Watanabe",2067042,292576195,9,"8.5-10","B+"
"10","Fight Club",1999,"A",139,"Drama",8.8,66,"David Fincher","Brad Pitt","Edward Norton","Meat Loaf","Zach Grenier",1854740,37030102,10,"8.5-10","B"
"11","The Lord of the Rings: The Fellowship of the Ring",2001,"U",178,"Action",8.8,92,"Peter Jackson","Elijah Wood","Ian McKellen","Orlando Bloom","Sean Bean",1661481,315544750,11,"8.5-10","A"
"12","Forrest Gump",1994,"UA",142,"Drama",8.8,82,"Robert Zemeckis","Tom Hanks","Robin Wright","Gary Sinise","Sally Field",1809221,330252182,12,"8.5-10","B+"
"13","Il buono, il brutto, il cattivo",1966,"A",161,"Western",8.8,90,"Sergio Leone","Clint Eastwood","Eli Wallach","Lee Van Cleef","Aldo Giuffrè",688390,6100000,13,"8.5-10","A"
"14","The Lord of the Rings: The Two Towers",2002,"UA",179,"Action",8.7,87,"Peter Jackson","Elijah Wood","Ian McKellen","Viggo Mortensen","Orlando Bloom",1485555,342551365,14,"8.5-10","A"
"15","The Matrix",1999,"A",136,"Action",8.7,73,"Lana Wachowski","Lilly Wachowski","Keanu Reeves","Laurence Fishburne","Carrie-Anne Moss",1676426,171479930,15,"8.5-10","B+"
"16","Goodfellas",1990,"A",146,"Biography",8.7,90,"Martin Scorsese","Robert De Niro","Ray Liotta","Joe Pesci","Lorraine Bracco",1020727,46836394,16,"8.5-10","A"
"17","Star Wars: Episode V - The Empire Strikes Back",1980,"UA",124,"Action",8.7,82,"Irvin Kershner","Mark Hamill","Harrison Ford","Carrie Fisher","Billy Dee Williams",1159315,290475067,17,"8.5-10","B+"
"18","One Flew Over the Cuckoo's Nest",1975,"A",133,"Drama",8.7,83,"Milos Forman","Jack Nicholson","Louise Fletcher","Michael Berryman","Peter Brocco",918088,1.12e+08,18,"8.5-10","B+"
"19","Hamilton",2020,"PG-13",160,"Biography",8.6,90,"Thomas Kail","Lin-Manuel Miranda","Phillipa Soo","Leslie Odom Jr.","Renée Elise Goldsberry",55291,23530892,19,"8.5-10","A"
"20","Gisaengchung",2019,"A",132,"Comedy",8.6,96,"Bong Joon Ho","Kang-ho Song","Lee Sun-kyun","Cho Yeo-jeong","Choi Woo-sik",552778,53367844,20,"8.5-10","A"
"21","Soorarai Pottru",2020,"U",153,"Drama",8.6,79,"Sudha Kongara","Suriya","Madhavan","Paresh Rawal","Aparna Balamurali",54995,23530892,21,"8.5-10","B+"
"22","Interstellar",2014,"UA",169,"Adventure",8.6,74,"Christopher Nolan","Matthew McConaughey","Anne Hathaway","Jessica Chastain","Mackenzie Foy",1512360,188020017,22,"8.5-10","B+"
"23","Cidade de Deus",2002,"A",130,"Crime",8.6,79,"Fernando Meirelles","Kátia Lund","Alexandre Rodrigues","Leandro Firmino","Matheus Nachtergaele",699256,7563397,23,"8.5-10","B+"
"24","Sen to Chihiro no kamikakushi",2001,"U",125,"Animation",8.6,96,"Hayao Miyazaki","Daveigh Chase","Suzanne Pleshette","Miyu Irino","Rumi Hiiragi",651376,10055859,24,"8.5-10","A"
"25","Saving Private Ryan",1998,"R",169,"Drama",8.6,91,"Steven Spielberg","Tom Hanks","Matt Damon","Tom Sizemore","Edward Burns",1235804,216540909,25,"8.5-10","A"
"26","The Green Mile",1999,"A",189,"Crime",8.6,61,"Frank Darabont","Tom Hanks","Michael Clarke Duncan","David Morse","Bonnie Hunt",1147794,136801374,26,"8.5-10","B"
"27","La vita è bella",1997,"U",116,"Comedy",8.6,59,"Roberto Benigni","Roberto Benigni","Nicoletta Braschi","Giorgio Cantarini","Giustino Durano",623629,57598247,27,"8.5-10","B"
"28","Se7en",1995,"A",127,"Crime",8.6,65,"David Fincher","Morgan Freeman","Brad Pitt","Kevin Spacey","Andrew Kevin Walker",1445096,100125643,28,"8.5-10","B"
"29","The Silence of the Lambs",1991,"A",118,"Crime",8.6,85,"Jonathan Demme","Jodie Foster","Anthony Hopkins","Lawrence A. Bonney","Kasi Lemmons",1270197,130742922,29,"8.5-10","B+"
"30","Star Wars",1977,"UA",121,"Action",8.6,90,"George Lucas","Mark Hamill","Harrison Ford","Carrie Fisher","Alec Guinness",1231473,322740140,30,"8.5-10","A"
"31","Seppuku",1962,"Not rated",133,"Action",8.6,85,"Masaki Kobayashi","Tatsuya Nakadai","Akira Ishihama","Shima Iwashita","Tetsurô Tanba",42004,23530892,31,"8.5-10","B+"
"32","Shichinin no samurai",1954,"U",207,"Action",8.6,98,"Akira Kurosawa","Toshirô Mifune","Takashi Shimura","Keiko Tsushima","Yukiko Shimazaki",315744,269061,32,"8.5-10","A"
"33","It's a Wonderful Life",1946,"PG",130,"Drama",8.6,89,"Frank Capra","James Stewart","Donna Reed","Lionel Barrymore","Thomas Mitchell",405801,23530892,33,"8.5-10","A"
"34","Joker",2019,"A",122,"Crime",8.5,59,"Todd Phillips","Joaquin Phoenix","Robert De Niro","Zazie Beetz","Frances Conroy",939252,335451311,34,"8-8.5","B"
"35","Whiplash",2014,"A",106,"Drama",8.5,88,"Damien Chazelle","Miles Teller","J.K. Simmons","Melissa Benoist","Paul Reiser",717585,13092000,35,"8-8.5","A"
"36","The Intouchables",2011,"UA",112,"Biography",8.5,57,"Olivier Nakache","Éric Toledano","François Cluzet","Omar Sy","Anne Le Ny",760360,13182281,36,"8-8.5","B"
"37","The Prestige",2006,"U",130,"Drama",8.5,66,"Christopher Nolan","Christian Bale","Hugh Jackman","Scarlett Johansson","Michael Caine",1190259,53089891,37,"8-8.5","B"
"38","The Departed",2006,"A",151,"Crime",8.5,85,"Martin Scorsese","Leonardo DiCaprio","Matt Damon","Jack Nicholson","Mark Wahlberg",1189773,132384315,38,"8-8.5","B+"
"39","The Pianist",2002,"R",150,"Biography",8.5,85,"Roman Polanski","Adrien Brody","Thomas Kretschmann","Frank Finlay","Emilia Fox",729603,32572577,39,"8-8.5","B+"
"40","Gladiator",2000,"UA",155,"Action",8.5,67,"Ridley Scott","Russell Crowe","Joaquin Phoenix","Connie Nielsen","Oliver Reed",1341460,187705427,40,"8-8.5","B"
"41","American History X",1998,"R",119,"Drama",8.5,62,"Tony Kaye","Edward Norton","Edward Furlong","Beverly D'Angelo","Jennifer Lien",1034705,6719864,41,"8-8.5","B"
"42","The Usual Suspects",1995,"A",106,"Crime",8.5,77,"Bryan Singer","Kevin Spacey","Gabriel Byrne","Chazz Palminteri","Stephen Baldwin",991208,23341568,42,"8-8.5","B+"
"43","Léon",1994,"A",110,"Action",8.5,64,"Luc Besson","Jean Reno","Gary Oldman","Natalie Portman","Danny Aiello",1035236,19501238,43,"8-8.5","B"
"44","The Lion King",1994,"U",88,"Animation",8.5,88,"Roger Allers","Rob Minkoff","Matthew Broderick","Jeremy Irons","James Earl Jones",942045,422783777,44,"8-8.5","A"
"45","Terminator 2: Judgment Day",1991,"U",137,"Action",8.5,75,"James Cameron","Arnold Schwarzenegger","Linda Hamilton","Edward Furlong","Robert Patrick",995506,204843350,45,"8-8.5","B+"
"46","Nuovo Cinema Paradiso",1988,"U",155,"Drama",8.5,80,"Giuseppe Tornatore","Philippe Noiret","Enzo Cannavale","Antonella Attili","Isa Danieli",230763,11990401,46,"8-8.5","B+"
"47","Hotaru no haka",1988,"U",89,"Animation",8.5,94,"Isao Takahata","Tsutomu Tatsumi","Ayano Shiraishi","Akemi Yamaguchi","Yoshiko Shinohara",235231,23530892,47,"8-8.5","A"
"48","Back to the Future",1985,"U",116,"Adventure",8.5,87,"Robert Zemeckis","Michael J. Fox","Christopher Lloyd","Lea Thompson","Crispin Glover",1058081,210609762,48,"8-8.5","A"
"49","Once Upon a Time in the West",1968,"U",165,"Western",8.5,80,"Sergio Leone","Henry Fonda","Charles Bronson","Claudia Cardinale","Jason Robards",302844,5321508,49,"8-8.5","B+"
"50","Psycho",1960,"A",109,"Horror",8.5,97,"Alfred Hitchcock","Anthony Perkins","Janet Leigh","Vera Miles","John Gavin",604211,3.2e+07,50,"8-8.5","A"
"51","Casablanca",1942,"U",102,"Drama",8.5,100,"Michael Curtiz","Humphrey Bogart","Ingrid Bergman","Paul Henreid","Claude Rains",522093,1024560,51,"8-8.5","A"
"52","Modern Times",1936,"G",87,"Comedy",8.5,96,"Charles Chaplin","Charles Chaplin","Paulette Goddard","Henry Bergman","Tiny Sandford",217881,163245,52,"8-8.5","A"
"53","City Lights",1931,"G",87,"Comedy",8.5,99,"Charles Chaplin","Charles Chaplin","Virginia Cherrill","Florence Lee","Harry Myers",167839,19181,53,"8-8.5","A"
